city,confirm,critical,date,dead,province,severe
合肥,59,0,2020-02-01,2,安徽省,0
淮北,6,0,2020-02-01,0,安徽省,0
亳州,30,0,2020-02-01,2,安徽省,0
宿州,14,0,2020-02-01,0,安徽省,0
蚌埠,26,0,2020-02-01,0,安徽省,0
阜阳,59,0,2020-02-01,0,安徽省,0
淮南,6,0,2020-02-01,0,安徽省,0
滁州,6,0,2020-02-01,0,安徽省,0
六安,13,0,2020-02-01,1,安徽省,0
马鞍山,27,0,2020-02-01,0,安徽省,0
芜湖,16,0,2020-02-01,0,安徽省,0
宣城,4,0,2020-02-01,0,安徽省,0
铜陵,16,0,2020-02-01,0,安徽省,0
池州,6,0,2020-02-01,0,安徽省,0
安庆,43,0,2020-02-01,0,安徽省,0
黄山,9,0,2020-02-01,0,安徽省,0
万州,39,1,2020-02-01,0,重庆市,3
黔江,2,0,2020-02-01,0,重庆市,0
涪陵,1,0,2020-02-01,0,重庆市,0
渝中,9,0,2020-02-01,0,重庆市,0
大渡口,6,0,2020-02-01,0,重庆市,2
江北,13,1,2020-02-01,0,重庆市,1
沙坪坝,2,0,2020-02-01,0,重庆市,0
九龙坡,11,1,2020-02-01,0,重庆市,0
南岸,4,0,2020-02-01,0,重庆市,0
渝北,12,0,2020-02-01,0,重庆市,1
巴南,1,0,2020-02-01,0,重庆市,0
长寿,10,0,2020-02-01,0,重庆市,3
江津,3,0,2020-02-01,0,重庆市,3
合川,8,0,2020-02-01,0,重庆市,0
永川,3,0,2020-02-01,0,重庆市,0
綦江,4,0,2020-02-01,0,重庆市,1
大足,4,0,2020-02-01,0,重庆市,0
璧山,8,0,2020-02-01,0,重庆市,2
铜梁,4,1,2020-02-01,0,重庆市,0
潼南,2,0,2020-02-01,0,重庆市,0
荣昌,2,0,2020-02-01,0,重庆市,0
开州,16,1,2020-02-01,0,重庆市,1
梁平,2,0,2020-02-01,0,重庆市,1
武隆,1,0,2020-02-01,0,重庆市,0
城口,1,0,2020-02-01,0,重庆市,0
丰都,5,0,2020-02-01,1,重庆市,1
垫江,11,0,2020-02-01,0,重庆市,1
忠,12,1,2020-02-01,0,重庆市,3
云阳,18,0,2020-02-01,0,重庆市,1
奉节,8,0,2020-02-01,0,重庆市,2
巫山,6,0,2020-02-01,1,重庆市,0
巫溪,11,0,2020-02-01,0,重庆市,0
石柱,10,0,2020-02-01,0,重庆市,0
秀山,1,0,2020-02-01,1,重庆市,0
两江新区,12,0,2020-02-01,0,重庆市,0
广州,175,0,2020-02-01,0,广东省,0
深圳,196,0,2020-02-01,0,广东省,0
珠海,41,0,2020-02-01,0,广东省,0
汕头,14,0,2020-02-01,0,广东省,0
佛山,39,0,2020-02-01,0,广东省,0
韶关,5,0,2020-02-01,0,广东省,0
