city,percentage,confirm,cure,dead,province_x,confirm_per_10000,Unnamed: 0,province_y,gdp_pc_cny,gdp_pc_us,rank,year
孝感,13.243243703613574,918,2,14,湖北省,13.863672987449636,172,湖北省,29924,4804,226,2015
黄冈,12.489445796325587,1246,32,17,湖北省,19.95284691281618,174,湖北省,25319,4065,277,2015
荆州,6.2550255505535945,499,6,6,湖北省,15.955170637339332,173,湖北省,27781,4460,252,2015
咸宁,5.075959362452852,296,1,0,湖北省,11.662819926791697,175,湖北省,41234,6620,161,2015
鄂州,4.291578050857769,306,2,15,湖北省,14.260488630229572,170,湖北省,68924,11066,60,2015
襄阳,3.9196179583890975,548,1,0,湖北省,27.96190882976868,169,湖北省,60319,9684,80,2015
黄石,3.7772721742304416,334,8,2,湖北省,17.68471979745792,166,湖北省,50053,8036,127,2015
荆门,3.1324206107798998,345,6,11,湖北省,22.027693140105026,171,湖北省,47999,7706,140,2015
随州,3.039212191264144,458,3,5,湖北省,30.139389498138154,176,湖北省,35901,5764,186,2015
仙桃,2.7939414770653364,169,0,3,湖北省,12.09760486304187,178,湖北省,51496,8268,[注 12],2015
宜昌,2.7835369266334102,392,2,1,湖北省,28.16560443292629,168,湖北省,82360,13223,39,2015
天门,1.9083769315001824,115,0,10,湖北省,12.05212640142302,180,湖北省,34069,5470,[注 14],2015
十堰,1.869861296994768,256,2,0,湖北省,27.381710120578667,167,湖北省,38490,6180,173,2015
恩施州,1.8519826012896947,111,5,0,湖北省,11.987153650655374,177,湖北省,20191,3242,309,2015
信阳,1.364237133471225,99,6,0,河南省,14.513605819847468,161,河南省,29351,4713,232,2015
长沙,1.1754100255505533,125,2,0,湖南省,21.269173698165613,182,湖南省[7],115444,18535,12,2015
潜江,1.139333860566979,35,0,1,湖北省,6.143940983652074,179,湖北省,58311,9362,[注 13],2015
郑州,0.6593825282881128,72,6,0,河南省,21.83861322104673,147,河南省[5],77179,12392,45,2015
广州,0.6276280569412337,200,3,0,广东省,63.73201382191443,196,广东省[8],136188,21866,6,2015
南阳,0.6273926268402481,84,1,2,河南省,26.777490332664932,159,河南省,28653,4600,238,2015
深圳,0.6175538386665043,245,10,0,广东省,79.34530875203792,198,广东省,157985,25365,4,2015
驻马店,0.6164527314758487,58,0,0,河南省,18.81733895837959,163,河南省,26032,4179,272,2015
成都,0.5209538873342255,77,10,1,四川省,29.561157665611017,249,四川省[11],74273,11925,52,2015
九江,0.5192687674899623,64,2,0,江西省,24.65004791617364,122,江西省,39505,6343,168,2015
南昌,0.5090424625866894,103,4,0,江西省,40.46813677452663,119,江西省[3],75879,12183,47,2015
岳阳,0.5032941963742548,70,0,0,湖南省,27.816732441693915,187,湖南省,51429,8257,121,2015
合肥,0.4590473293588026,75,5,0,安徽省,32.67636916862582,94,安徽省[1],73102,11737,55,2015
南京,0.4300765123137005,40,2,0,江苏省,18.601341321715218,70,江苏省[注 9],118171,18973,11,2015
安庆,0.4146666261102324,47,0,0,安徽省,22.668812506510136,96,安徽省,31101,4993,218,2015
杭州,0.4055586432366163,118,2,0,浙江省,58.191337784486535,83,浙江省[注 10],112268,18025,13,2015
周口,0.3937249057062903,47,1,0,河南省,23.874537434043308,162,河南省,23728,3810,288,2015
西安,0.3798290546295168,55,0,0,陕西省,28.960396436047635,295,陕西省[14],66938,10747,66,2015
阜阳,0.3250504927606765,65,0,0,安徽省,39.99378647172657,99,安徽省,16121,2588,327,2015
苏州,0.31582486244521124,44,3,0,江苏省,27.863544155035008,74,江苏省,136702,21948,5,2015
常德,0.30945355951056724,45,0,0,湖南省,29.083523919500003,188,湖南省,46408,7451,144,2015
商丘,0.3071222109533468,50,0,0,河南省,32.56032824509408,160,河南省,24940,4004,281,2015
台州,0.3011224489795919,109,11,0,浙江省,72.39579803456455,92,浙江省,58988,9471,86,2015
贵阳,0.27797663495122243,7,1,0,贵州省,5.036394516559506,270,贵州省[12],63003,10115,72,2015
宜春,0.27672634003350083,36,1,0,江西省,26.018484540099646,127,江西省,29459,4730,230,2015
南宁,0.27425994752951466,22,0,0,广西壮族自治区,16.043173783246242,217,广西省[9],49066,7878,133,2015
昆明,0.2733043187144291,32,0,0,云南省,23.417119898084184,279,云南省[13],59656,9578,83,2015
东莞,0.2512410841654779,31,0,0,广东省,24.677492618669092,212,广东省,75616,12141,48,2015
徐州,0.2454871794871795,36,0,0,江苏省,29.329433883434294,72,江苏省,61511,9876,76,2015
厦门,0.2410343730108212,19,0,0,福建省,15.765386291312899,111,福建省,90378,14511,30,2015
衡阳,0.2391764217517642,32,4,0,湖南省,26.75849046124795,185,湖南省,35538,5706,189,2015
三亚,0.239014598540146,18,4,0,海南省,15.061841502519467,232,海南省,58468,9387,91,2015
石家庄,0.2368670309653917,16,0,0,河北省,13.509689326361116,0,河北省[注 3],51043,8195,123,2015
益阳,0.2340235181948196,30,1,0,湖南省,25.63844884600499,190,湖南省,30776,4941,223,2015
青岛,0.22708962739174215,26,1,0,山东省,22.898447893569852,131,山东省,102519,16460,21,2015
惠州,0.2265299145299145,28,1,0,广东省,24.7207968608512,206,广东省,66231,10634,68,2015
温州,0.22305244013337366,291,17,0,浙江省,260.92518855745067,85,浙江省,50809,8158,125,2015
佛山,0.22096569250317666,45,1,0,广东省,40.730304772857956,201,广东省,108299,17388,17,2015
邯郸,0.21992443324937028,11,0,0,河北省,10.003436032527775,3,河北省,33450,5371,202,2015
六安,0.2179630720879984,20,1,0,安徽省,18.351732528274688,102,安徽省,21524,3456,303,2015
宁波,0.21789788408463664,75,1,0,浙江省,68.83958540035043,84,浙江省,102475,16453,22,2015
海口,0.2134841628959276,13,0,0,海南省,12.178889359898262,231,海南省[10],52534,8435,116,2015
邵阳,0.21240498034076016,51,1,0,湖南省,48.02147286582544,186,湖南省,19156,3076,312,2015
无锡,0.21220940550133094,23,1,0,江苏省,21.676701789596923,71,江苏省,130938,21023,9,2015
洛阳,0.21215680991512867,7,0,0,河南省,6.598892585913488,149,河南省,51696,8300,119,2015
泉州,0.20913696060037526,31,0,0,福建省,29.645644568045213,114,福建省,72422,11628,56,2015
福州,0.20506189076280365,47,0,0,福建省,45.839819212790914,110,福建省[2],75259,12083,49,2015
哈尔滨,0.2035413642960813,45,2,0,黑龙江省,44.21705647461495,57,黑龙江省[注 8],59027,9477,84,2015
新乡,0.20162454873646207,27,0,0,河南省,26.78245299910475,153,河南省,34562,5549,195,2015
济南,0.2,22,0,0,山东省,22.0,130,山东省[4],85919,13795,37,2015
漯河,0.1995906016375934,20,0,0,河南省,20.0410238116472,157,河南省,37987,6099,176,2015
娄底,0.19615749389280068,35,2,0,湖南省,35.68561088889866,194,湖南省,33437,5368,203,2015
开封,0.19,11,0,0,河南省,11.578947368421053,148,河南省,35326,5672,191,2015
太原,0.19,6,1,0,山西省,6.315789473684211,11,山西省[注 4],63483,10192,70,2015
株洲,0.1874084295032614,26,1,0,湖南省,27.746884245190834,183,湖南省,58661,9418,89,2015
许昌,0.17700000000000002,15,0,0,河南省,16.949152542372882,156,河南省,50162,8054,126,2015
上饶,0.1751243060584118,32,4,0,江西省,36.54546958127739,129,江西省,24633,3955,284,2015
珠海,0.17250481695568398,55,1,0,广东省,63.76633530660115,199,广东省,124706,20022,10,2015
菏泽,0.17,10,0,0,山东省,11.76470588235294,146,山东省,28350,4552,242,2015
金华,0.16,36,6,0,浙江省,45.0,89,浙江省,62556,10044,73,2015
赣州,0.14,35,1,0,江西省,49.99999999999999,125,江西省,23148,3716,292,2015
