date,city,confirm,cure,dead,province,suspect
2020-02-03,合肥,75,5,0,安徽,0
2020-02-03,阜阳,65,0,0,安徽,0
2020-02-03,安庆,47,0,0,安徽,0
2020-02-03,亳州,39,2,0,安徽,0
2020-02-03,蚌埠,37,0,0,安徽,0
2020-02-03,马鞍山,28,1,0,安徽,0
2020-02-03,宿州,21,0,0,安徽,0
2020-02-03,六安,20,1,0,安徽,0
2020-02-03,铜陵,18,1,0,安徽,0
2020-02-03,芜湖,16,1,0,安徽,0
2020-02-03,黄山,9,0,0,安徽,0
2020-02-03,滁州,8,1,0,安徽,0
2020-02-03,淮北,8,0,0,安徽,0
2020-02-03,淮南,7,0,0,安徽,0
2020-02-03,池州,6,1,0,安徽,0
2020-02-03,宣城,4,1,0,安徽,0
2020-02-03,信阳,99,6,0,河南,0
2020-02-03,南阳,84,1,2,河南,0
2020-02-03,郑州,72,6,0,河南,0
2020-02-03,驻马店,58,0,0,河南,0
2020-02-03,商丘,50,0,0,河南,0
2020-02-03,周口,47,1,0,河南,0
2020-02-03,安阳,29,0,0,河南,0
2020-02-03,新乡,27,0,0,河南,0
2020-02-03,漯河,20,0,0,河南,0
2020-02-03,平顶山,19,0,0,河南,0
2020-02-03,许昌,15,0,0,河南,0
2020-02-03,开封,11,0,0,河南,0
2020-02-03,鹤壁,8,0,0,河南,0
2020-02-03,焦作,8,0,0,河南,0
2020-02-03,洛阳,7,0,0,河南,0
2020-02-03,三门峡,7,0,0,河南,0
2020-02-03,濮阳,3,0,0,河南,0
2020-02-03,济源,2,0,0,河南,0
2020-02-03,青岛,26,1,0,山东,0
2020-02-03,烟台,26,0,0,山东,0
2020-02-03,威海,25,2,0,山东,0
2020-02-03,临沂,25,1,0,山东,0
2020-02-03,济南,22,0,0,山东,0
2020-02-03,德州,19,1,0,山东,0
2020-02-03,济宁,18,1,0,山东,0
2020-02-03,枣庄,16,0,0,山东,0
2020-02-03,日照,14,0,0,山东,0
2020-02-03,潍坊,13,0,0,山东,0
2020-02-03,淄博,12,0,0,山东,0
2020-02-03,泰安,12,1,0,山东,0
2020-02-03,滨州,11,0,0,山东,0
2020-02-03,聊城,10,0,0,山东,0
2020-02-03,菏泽,10,0,0,山东,0
2020-02-03,信阳,99,6,0,河南,0
2020-02-03,南阳,84,1,2,河南,0
2020-02-03,郑州,72,2,0,河南,0
2020-02-03,驻马店,58,0,0,河南,0
2020-02-03,商丘,50,0,0,河南,0
2020-02-03,周口,47,1,0,河南,0
2020-02-03,安阳,29,0,0,河南,0
2020-02-03,新乡,27,0,0,河南,0
2020-02-03,漯河,20,0,0,河南,0
2020-02-03,平顶山,19,0,0,河南,0
2020-02-03,许昌,15,0,0,河南,0
