date,confirm,cure,dead,province,suspect
2020-02-04,57,4,0,甘肃省,0.0
2020-02-04,25,5,0,泰国,0.0
2020-02-04,24,0,0,新加坡,0.0
2020-02-04,16,0,0,韩国,0.0
2020-02-04,13,2,0,澳大利亚,0.0
2020-02-04,3,0,0,印度,0.0
2020-02-04,11,0,0,台湾,0.0
2020-02-04,476,20,0,江西省,0.0
2020-02-04,675,27,2,河南省,2.0
2020-02-04,675,27,2,河南省,2.0
2020-02-04,81,2,0,辽宁省,0.0
2020-02-04,593,31,0,湖南省,0.0
2020-02-04,282,14,1,四川省,0.0
2020-02-04,67,2,0,天津市,0.0
2020-02-04,813,30,0,广东省,0.0
2020-02-04,829,62,0,浙江省,0.0
2020-02-04,67,1,0,天津市,0.0
2020-02-04,67,1,0,天津市,0.0
2020-02-04,74,4,0,山西省,0.0
2020-02-04,142,2,0,陕西省,0.0
2020-02-04,74,4,0,山西省,0.0
2020-02-04,344,9,2,重庆市,0.0
2020-02-04,219,12,1,上海市,0.0
2020-02-04,80,5,1,海南省,0.0
2020-02-04,55,3,0,甘肃省,0.0
2020-02-04,29,0,0,新疆维吾尔自治区,0.0
2020-02-04,15,0,0,青海省,0.0
2020-02-04,194,3,0,福建省,0.0
2020-02-04,275,11,0,山东省,0.0
2020-02-04,275,11,0,山东省,0.0
2020-02-04,675,27,2,河南省,2.0
2020-02-04,308,12,0,江苏省,0.0
2020-02-04,675,27,2,河南省,2.0
2020-02-04,593,30,0,湖南省,0.0
2020-02-04,80,5,1,海南省,0.0
2020-02-04,813,27,0,广东省,0.0
2020-02-04,58,2,0,贵州省,0.0
2020-02-04,58,2,0,贵州省,0.0
2020-02-04,13522,397,414,湖北省,0.0
2020-02-04,13522,395,414,湖北省,0.0
2020-02-04,593,29,0,湖南省,0.0
2020-02-04,813,24,0,广东省,0.0
2020-02-04,13522,395,414,湖北省,0.0
2020-02-04,13522,398,414,湖北省,0.0
2020-02-04,13522,398,414,湖北省,0.0
2020-02-04,829,60,0,浙江省,0.0
2020-02-04,17,0,1,香港,0.0
2020-02-04,275,9,0,山东省,0.0
2020-02-04,126,4,1,河北省,0.0
2020-02-04,275,7,0,山东省,0.0
2020-02-04,77,2,0,辽宁省,0.0
2020-02-04,1,0,0,比利时,0.0
2020-02-04,10,1,0,越南,0.0
2020-02-04,228,23,1,北京市,0.0
2020-02-04,228,12,1,北京市,0.0
2020-02-04,212,12,1,北京市,0.0
2020-02-04,344,9,2,重庆市,0.0
2020-02-04,337,9,2,重庆市,0.0
2020-02-04,1,0,0,西藏自治区,0.0
2020-02-04,155,4,2,黑龙江省,0.0
2020-02-04,10,0,0,马来西亚,0.0
2020-02-04,77,1,0,辽宁省,0.0
2020-02-04,275,7,0,山东省,0.0
2020-02-04,13522,398,414,湖北省,0.0
2020-02-04,119,5,0,云南省,0.0
2020-02-04,13522,398,414,湖北省,0.0
2020-02-04,13522,398,414,湖北省,0.0
2020-02-04,13522,398,414,湖北省,0.0
2020-02-04,829,49,0,浙江省,0.0
2020-02-04,219,12,1,上海市,0.0
2020-02-04,208,12,1,上海市,0.0
2020-02-04,139,10,0,广西壮族自治区,0.0
2020-02-04,480,20,0,安徽省,0.0
2020-02-04,480,14,0,安徽省,0.0
2020-02-04,66,1,0,天津市,0.0
2020-02-04,80,4,1,海南省,0.0
2020-02-04,66,1,0,天津市,0.0
2020-02-04,60,1,0,天津市,0.0
2020-02-04,10,0,0,澳门,0.0
2020-02-04,593,26,0,湖南省,0.0
2020-02-04,308,10,0,江苏省,0.0
2020-02-04,208,12,1,上海市,0.0
2020-02-04,139,7,0,广西壮族自治区,0.0
2020-02-04,797,24,0,广东省,0.0
2020-02-04,139,7,0,广西壮族自治区,0.0
2020-02-04,194,1,0,福建省,0.0
2020-02-04,42,1,0,吉林省,0.0
2020-02-04,15,0,1,香港,0.0
2020-02-04,13522,398,414,湖北省,0.0
2020-02-04,35,1,0,内蒙古自治区,0.0
2020-02-04,12,0,0,德国,0.0
2020-02-04,142,1,0,陕西省,0.0
2020-02-04,34,1,0,宁夏回族自治区,0.0
2020-02-04,476,19,0,江西省,0.0
2020-02-04,128,1,0,陕西省,0.0
2020-02-04,797,21,0,广东省,0.0
2020-02-04,593,22,0,湖南省,0.0
2020-02-04,829,48,0,浙江省,0.0
2020-02-04,282,14,1,四川省,0.0
2020-02-04,29,0,0,新疆维吾尔自治区,0.0
2020-02-04,15,0,0,青海省,0.0
2020-02-04,13522,396,414,湖北省,0.0
2020-02-04,675,20,2,河南省,2.0
